Cidades,Lat,Long,Freq
Barro Preto,-14.7510567,-39.427038,0
Barrocas,-11.5304158,-39.0790823,0
Candeal,-11.8052907,-39.120633,2
Cipó,-11.1036075,-38.5182918,3
Condeúba,-14.9006634,-42.0385904,5
Cordeiros,-15.0393308,-41.9339708,8
Dom Basílio,-13.8545436,-41.7208243,2
Gongogi,-14.3255075,-39.4672663,3
Ipecaetá,-12.3158862,-39.3070145,6
Itagi,-14.1619546,-40.0134819,5
Itagimirim,-16.0823865,-39.613684,4
Itapitanga,-14.5108137,-39.6105142,8
Ituaçu,-13.817229,-41.3611121,9
Licínio de Almeida,-14.6825243,-42.5050773,8
Mortugaba,-15.0226306,-42.3688583,5
Pau Brasil,-15.4625471,-39.6530327,2
Potiraguá,-15.7221619,-39.7782718,1
Rio de Contas,-13.5858387,-41.8136167,4
Salinas da Margarida,-12.883702,-38.7578708,7
Souto Soares,-12.0065689,-41.8004409,0
Sítio do Mato,-12.842403,-43.4452148,8
